State_Result_ID,Release Period,State,Measure ID,Bottom-box Percentage,Middle-box Percentage,Top-box Percentage
687,07_2016,KY,H_COMP_7,5,42,53
688,07_2016,KY,H_HSP_RATING,7,21,72
689,07_2016,KY,H_QUIET_HSP,7,27,66
690,07_2016,KY,H_RECMND,5,25,70
691,07_2016,LA,H_CLEAN_HSP,8,17,75
692,07_2016,LA,H_COMP_1,4,12,84
693,07_2016,LA,H_COMP_2,3,9,88
694,07_2016,LA,H_COMP_3,9,18,73
695,07_2016,LA,H_COMP_5,16,15,69
696,07_2016,LA,H_COMP_6,14,0,86
697,07_2016,LA,H_COMP_7,5,37,58
698,07_2016,LA,H_HSP_RATING,6,18,76
699,07_2016,LA,H_QUIET_HSP,5,21,74
700,07_2016,LA,H_RECMND,4,19,77
701,07_2016,MA,H_CLEAN_HSP,8,20,72
702,07_2016,MA,H_COMP_1,4,16,80
703,07_2016,MA,H_COMP_2,4,15,81
704,07_2016,MA,H_COMP_3,10,24,66
705,07_2016,MA,H_COMP_5,18,18,64
706,07_2016,MA,H_COMP_6,11,0,89
707,07_2016,MA,H_COMP_7,5,42,53
708,07_2016,MA,H_HSP_RATING,8,22,70
709,07_2016,MA,H_QUIET_HSP,14,33,53
710,07_2016,MA,H_RECMND,5,21,74
711,07_2016,ME,H_CLEAN_HSP,5,15,80
712,07_2016,ME,H_COMP_1,3,14,83
713,07_2016,ME,H_COMP_2,4,13,83
714,07_2016,ME,H_COMP_3,6,23,71
715,07_2016,ME,H_COMP_5,15,16,69
716,07_2016,ME,H_COMP_6,11,0,89
717,07_2016,ME,H_COMP_7,4,39,57
718,07_2016,ME,H_HSP_RATING,6,18,76
719,07_2016,ME,H_QUIET_HSP,9,32,59
720,07_2016,ME,H_RECMND,4,20,76
721,07_2016,MI,H_CLEAN_HSP,8,18,74
722,07_2016,MI,H_COMP_1,3,16,81
723,07_2016,MI,H_COMP_2,4,15,81
724,07_2016,MI,H_COMP_3,7,22,71
725,07_2016,MI,H_COMP_5,17,18,65
726,07_2016,MI,H_COMP_6,12,0,88
727,07_2016,MI,H_COMP_7,5,42,53
728,07_2016,MI,H_HSP_RATING,7,20,73
729,07_2016,MI,H_QUIET_HSP,9,30,61
730,07_2016,MI,H_RECMND,4,25,71
731,07_2016,MN,H_CLEAN_HSP,5,16,79
732,07_2016,MN,H_COMP_1,2,16,82
733,07_2016,MN,H_COMP_2,3,13,84
734,07_2016,MN,H_COMP_3,4,21,75
735,07_2016,MN,H_COMP_5,14,19,67
736,07_2016,MN,H_COMP_6,12,0,88
737,07_2016,MN,H_COMP_7,4,40,56
738,07_2016,MN,H_HSP_RATING,5,19,76
739,07_2016,MN,H_QUIET_HSP,6,27,67
740,07_2016,MN,H_RECMND,3,21,76
741,07_2016,MO,H_CLEAN_HSP,8,19,73
742,07_2016,MO,H_COMP_1,4,17,79
743,07_2016,MO,H_COMP_2,4,14,82
744,07_2016,MO,H_COMP_3,8,25,67
745,07_2016,MO,H_COMP_5,18,18,64
746,07_2016,MO,H_COMP_6,13,0,87
747,07_2016,MO,H_COMP_7,6,42,52
748,07_2016,MO,H_HSP_RATING,7,22,71
749,07_2016,MO,H_QUIET_HSP,8,29,63
750,07_2016,MO,H_RECMND,5,26,69
751,07_2016,MS,H_CLEAN_HSP,10,16,74
752,07_2016,MS,H_COMP_1,5,13,82
753,07_2016,MS,H_COMP_2,4,10,86
754,07_2016,MS,H_COMP_3,10,20,70
755,07_2016,MS,H_COMP_5,17,16,67
756,07_2016,MS,H_COMP_6,15,0,85
757,07_2016,MS,H_COMP_7,6,43,51
758,07_2016,MS,H_HSP_RATING,8,21,71
759,07_2016,MS,H_QUIET_HSP,6,21,73
760,07_2016,MS,H_RECMND,6,24,70
761,07_2016,MT,H_CLEAN_HSP,8,18,74
762,07_2016,MT,H_COMP_1,4,16,80
763,07_2016,MT,H_COMP_2,3,13,84
764,07_2016,MT,H_COMP_3,6,20,74
765,07_2016,MT,H_COMP_5,17,18,65
766,07_2016,MT,H_COMP_6,14,0,86
767,07_2016,MT,H_COMP_7,4,42,54
768,07_2016,MT,H_HSP_RATING,8,22,70
769,07_2016,MT,H_QUIET_HSP,7,30,63
770,07_2016,MT,H_RECMND,4,25,71
771,07_2016,NC,H_CLEAN_HSP,10,18,72
772,07_2016,NC,H_COMP_1,4,15,81
773,07_2016,NC,H_COMP_2,4,13,83
774,07_2016,NC,H_COMP_3,9,23,68
775,07_2016,NC,H_COMP_5,17,17,66
776,07_2016,NC,H_COMP_6,13,0,87
777,07_2016,NC,H_COMP_7,5,43,52
778,07_2016,NC,H_HSP_RATING,8,21,71
779,07_2016,NC,H_QUIET_HSP,8,28,64
780,07_2016,NC,H_RECMND,5,25,70
781,07_2016,ND,H_CLEAN_HSP,9,17,74
782,07_2016,ND,H_COMP_1,3,16,81
783,07_2016,ND,H_COMP_2,3,14,83
784,07_2016,ND,H_COMP_3,5,20,75
785,07_2016,ND,H_COMP_5,17,21,62
786,07_2016,ND,H_COMP_6,18,0,82
787,07_2016,ND,H_COMP_7,4,44,52
788,07_2016,ND,H_HSP_RATING,7,22,71
789,07_2016,ND,H_QUIET_HSP,7,27,66
790,07_2016,ND,H_RECMND,5,23,72
791,07_2016,NE,H_CLEAN_HSP,5,15,80
792,07_2016,NE,H_COMP_1,2,14,84
793,07_2016,NE,H_COMP_2,2,12,86
794,07_2016,NE,H_COMP_3,4,20,76
795,07_2016,NE,H_COMP_5,13,19,68
796,07_2016,NE,H_COMP_6,12,0,88
797,07_2016,NE,H_COMP_7,3,39,58
798,07_2016,NE,H_HSP_RATING,5,17,78
799,07_2016,NE,H_QUIET_HSP,5,26,69
800,07_2016,NE,H_RECMND,2,19,79
801,07_2016,NH,H_CLEAN_HSP,7,17,76
802,07_2016,NH,H_COMP_1,3,16,81
803,07_2016,NH,H_COMP_2,4,15,81
804,07_2016,NH,H_COMP_3,7,22,71
805,07_2016,NH,H_COMP_5,15,18,67
806,07_2016,NH,H_COMP_6,10,0,90
807,07_2016,NH,H_COMP_7,4,42,54
808,07_2016,NH,H_HSP_RATING,6,21,73
809,07_2016,NH,H_QUIET_HSP,11,33,56
810,07_2016,NH,H_RECMND,4,22,74
811,07_2016,NJ,H_CLEAN_HSP,11,21,68
812,07_2016,NJ,H_COMP_1,6,17,77
813,07_2016,NJ,H_COMP_2,6,17,77
814,07_2016,NJ,H_COMP_3,13,26,61
815,07_2016,NJ,H_COMP_5,22,19,59
816,07_2016,NJ,H_COMP_6,17,0,83
817,07_2016,NJ,H_COMP_7,7,46,47
818,07_2016,NJ,H_HSP_RATING,11,25,64
819,07_2016,NJ,H_QUIET_HSP,15,32,53
820,07_2016,NJ,H_RECMND,7,27,66
821,07_2016,NM,H_CLEAN_HSP,10,19,71
822,07_2016,NM,H_COMP_1,6,17,77
823,07_2016,NM,H_COMP_2,7,15,78
824,07_2016,NM,H_COMP_3,10,22,68
825,07_2016,NM,H_COMP_5,17,18,65
826,07_2016,NM,H_COMP_6,16,0,84
827,07_2016,NM,H_COMP_7,6,45,49
828,07_2016,NM,H_HSP_RATING,11,22,67
829,07_2016,NM,H_QUIET_HSP,10,28,62
830,07_2016,NM,H_RECMND,6,30,64
831,07_2016,NV,H_CLEAN_HSP,11,21,68
832,07_2016,NV,H_COMP_1,7,20,73
833,07_2016,NV,H_COMP_2,7,18,75
834,07_2016,NV,H_COMP_3,12,29,59
835,07_2016,NV,H_COMP_5,22,18,60
836,07_2016,NV,H_COMP_6,16,0,84
837,07_2016,NV,H_COMP_7,8,45,47
838,07_2016,NV,H_HSP_RATING,11,23,66
839,07_2016,NV,H_QUIET_HSP,12,33,55
840,07_2016,NV,H_RECMND,8,26,66
841,07_2016,NY,H_CLEAN_HSP,10,21,69
842,07_2016,NY,H_COMP_1,6,18,76
843,07_2016,NY,H_COMP_2,6,17,77
844,07_2016,NY,H_COMP_3,13,25,62
845,07_2016,NY,H_COMP_5,22,18,60
846,07_2016,NY,H_COMP_6,15,0,85
847,07_2016,NY,H_COMP_7,6,47,47
848,07_2016,NY,H_HSP_RATING,11,25,64
849,07_2016,NY,H_QUIET_HSP,14,34,52
850,07_2016,NY,H_RECMND,7,27,66
851,07_2016,OH,H_CLEAN_HSP,7,18,75
852,07_2016,OH,H_COMP_1,3,15,82
853,07_2016,OH,H_COMP_2,4,15,81
854,07_2016,OH,H_COMP_3,7,23,70
855,07_2016,OH,H_COMP_5,17,18,65
856,07_2016,OH,H_COMP_6,12,0,88
857,07_2016,OH,H_COMP_7,4,43,53
858,07_2016,OH,H_HSP_RATING,7,20,73
859,07_2016,OH,H_QUIET_HSP,9,31,60
860,07_2016,OH,H_RECMND,4,24,72
861,07_2016,OK,H_CLEAN_HSP,8,18,74
862,07_2016,OK,H_COMP_1,4,15,81
863,07_2016,OK,H_COMP_2,3,12,85
864,07_2016,OK,H_COMP_3,7,21,72
865,07_2016,OK,H_COMP_5,16,18,66
866,07_2016,OK,H_COMP_6,14,0,86
867,07_2016,OK,H_COMP_7,5,41,54
868,07_2016,OK,H_HSP_RATING,7,20,73
869,07_2016,OK,H_QUIET_HSP,6,24,70
870,07_2016,OK,H_RECMND,5,24,71
871,07_2016,OR,H_CLEAN_HSP,7,19,74
872,07_2016,OR,H_COMP_1,3,18,79
873,07_2016,OR,H_COMP_2,4,15,81
874,07_2016,OR,H_COMP_3,6,25,69
875,07_2016,OR,H_COMP_5,16,19,65
876,07_2016,OR,H_COMP_6,12,0,88
877,07_2016,OR,H_COMP_7,5,43,52
878,07_2016,OR,H_HSP_RATING,6,23,71
879,07_2016,OR,H_QUIET_HSP,10,33,57
880,07_2016,OR,H_RECMND,4,24,72
881,07_2016,PA,H_CLEAN_HSP,8,19,73
882,07_2016,PA,H_COMP_1,4,16,80
883,07_2016,PA,H_COMP_2,4,16,80
884,07_2016,PA,H_COMP_3,9,24,67
885,07_2016,PA,H_COMP_5,19,18,63
886,07_2016,PA,H_COMP_6,13,0,87
887,07_2016,PA,H_COMP_7,5,44,51
888,07_2016,PA,H_HSP_RATING,8,22,70
889,07_2016,PA,H_QUIET_HSP,11,33,56
890,07_2016,PA,H_RECMND,5,25,70
891,07_2016,RI,H_CLEAN_HSP,8,19,73
892,07_2016,RI,H_COMP_1,4,16,80
893,07_2016,RI,H_COMP_2,4,15,81
894,07_2016,RI,H_COMP_3,9,23,68
895,07_2016,RI,H_COMP_5,20,17,63
896,07_2016,RI,H_COMP_6,13,0,87
897,07_2016,RI,H_COMP_7,5,43,52
898,07_2016,RI,H_HSP_RATING,8,22,70
899,07_2016,RI,H_QUIET_HSP,13,32,55
900,07_2016,RI,H_RECMND,5,22,73
901,07_2016,SC,H_CLEAN_HSP,10,18,72
902,07_2016,SC,H_COMP_1,5,14,81
903,07_2016,SC,H_COMP_2,4,13,83
904,07_2016,SC,H_COMP_3,10,22,68
905,07_2016,SC,H_COMP_5,17,17,66
906,07_2016,SC,H_COMP_6,13,0,87
907,07_2016,SC,H_COMP_7,6,41,53
908,07_2016,SC,H_HSP_RATING,8,21,71
909,07_2016,SC,H_QUIET_HSP,7,25,68
910,07_2016,SC,H_RECMND,5,24,71
911,07_2016,SD,H_CLEAN_HSP,6,16,78
912,07_2016,SD,H_COMP_1,2,15,83
913,07_2016,SD,H_COMP_2,2,12,86
914,07_2016,SD,H_COMP_3,4,19,77
915,07_2016,SD,H_COMP_5,12,19,69
916,07_2016,SD,H_COMP_6,12,0,88
917,07_2016,SD,H_COMP_7,4,42,54
918,07_2016,SD,H_HSP_RATING,5,17,78
919,07_2016,SD,H_QUIET_HSP,4,26,70
920,07_2016,SD,H_RECMND,2,21,77
921,07_2016,TN,H_CLEAN_HSP,10,17,73
922,07_2016,TN,H_COMP_1,5,15,80
923,07_2016,TN,H_COMP_2,4,13,83
924,07_2016,TN,H_COMP_3,9,22,69
925,07_2016,TN,H_COMP_5,19,16,65
926,07_2016,TN,H_COMP_6,14,0,86
927,07_2016,TN,H_COMP_7,6,43,51
928,07_2016,TN,H_HSP_RATING,8,20,72
929,07_2016,TN,H_QUIET_HSP,7,26,67
930,07_2016,TN,H_RECMND,6,23,71
931,07_2016,TX,H_CLEAN_HSP,8,17,75
932,07_2016,TX,H_COMP_1,4,16,80
933,07_2016,TX,H_COMP_2,4,13,83
934,07_2016,TX,H_COMP_3,9,21,70
935,07_2016,TX,H_COMP_5,17,17,66
936,07_2016,TX,H_COMP_6,14,0,86
937,07_2016,TX,H_COMP_7,5,42,53
938,07_2016,TX,H_HSP_RATING,7,19,74
939,07_2016,TX,H_QUIET_HSP,7,24,69
940,07_2016,TX,H_RECMND,5,21,74
941,07_2016,UT,H_CLEAN_HSP,7,19,74
942,07_2016,UT,H_COMP_1,3,17,80
943,07_2016,UT,H_COMP_2,2,14,84
944,07_2016,UT,H_COMP_3,6,25,69
945,07_2016,UT,H_COMP_5,15,19,66
946,07_2016,UT,H_COMP_6,10,0,90
947,07_2016,UT,H_COMP_7,5,38,57
948,07_2016,UT,H_HSP_RATING,6,18,76
949,07_2016,UT,H_QUIET_HSP,7,30,63
950,07_2016,UT,H_RECMND,3,20,77
951,07_2016,VA,H_CLEAN_HSP,9,19,72
952,07_2016,VA,H_COMP_1,5,16,79
953,07_2016,VA,H_COMP_2,4,15,81
954,07_2016,VA,H_COMP_3,10,25,65
955,07_2016,VA,H_COMP_5,18,18,64
956,07_2016,VA,H_COMP_6,12,0,88
957,07_2016,VA,H_COMP_7,6,43,51
958,07_2016,VA,H_HSP_RATING,8,22,70
959,07_2016,VA,H_QUIET_HSP,9,30,61
960,07_2016,VA,H_RECMND,5,25,70
961,07_2016,VT,H_CLEAN_HSP,5,19,76
962,07_2016,VT,H_COMP_1,4,16,80
963,07_2016,VT,H_COMP_2,4,14,82
964,07_2016,VT,H_COMP_3,7,23,70
965,07_2016,VT,H_COMP_5,17,18,65
966,07_2016,VT,H_COMP_6,11,0,89
967,07_2016,VT,H_COMP_7,4,42,54
968,07_2016,VT,H_HSP_RATING,6,22,72
969,07_2016,VT,H_QUIET_HSP,11,34,55
970,07_2016,VT,H_RECMND,4,22,74
971,07_2016,WA,H_CLEAN_HSP,8,19,73
972,07_2016,WA,H_COMP_1,4,18,78
973,07_2016,WA,H_COMP_2,5,15,80
974,07_2016,WA,H_COMP_3,8,27,65
975,07_2016,WA,H_COMP_5,17,18,65
976,07_2016,WA,H_COMP_6,12,0,88
977,07_2016,WA,H_COMP_7,6,42,52
978,07_2016,WA,H_HSP_RATING,8,21,71
979,07_2016,WA,H_QUIET_HSP,11,34,55
980,07_2016,WA,H_RECMND,5,23,72
981,07_2016,WI,H_CLEAN_HSP,5,16,79
982,07_2016,WI,H_COMP_1,3,15,82
983,07_2016,WI,H_COMP_2,3,14,83
984,07_2016,WI,H_COMP_3,5,22,73
985,07_2016,WI,H_COMP_5,14,18,68
986,07_2016,WI,H_COMP_6,10,0,90
987,07_2016,WI,H_COMP_7,4,40,56
988,07_2016,WI,H_HSP_RATING,5,19,76
989,07_2016,WI,H_QUIET_HSP,7,28,65
990,07_2016,WI,H_RECMND,3,22,75
991,07_2016,WV,H_CLEAN_HSP,8,18,74
992,07_2016,WV,H_COMP_1,5,16,79
993,07_2016,WV,H_COMP_2,4,14,82
994,07_2016,WV,H_COMP_3,9,23,68
995,07_2016,WV,H_COMP_5,18,17,65
996,07_2016,WV,H_COMP_6,13,0,87
997,07_2016,WV,H_COMP_7,5,45,50
998,07_2016,WV,H_HSP_RATING,8,23,69
999,07_2016,WV,H_QUIET_HSP,10,31,59
1000,07_2016,WV,H_RECMND,6,27,67
1001,07_2016,WY,H_CLEAN_HSP,7,19,74
1002,07_2016,WY,H_COMP_1,4,17,79
1003,07_2016,WY,H_COMP_2,4,14,82
1004,07_2016,WY,H_COMP_3,6,20,74
1005,07_2016,WY,H_COMP_5,16,18,66
1006,07_2016,WY,H_COMP_6,11,0,89
1007,07_2016,WY,H_COMP_7,5,43,52
1008,07_2016,WY,H_HSP_RATING,7,23,70
1009,07_2016,WY,H_QUIET_HSP,7,29,64
1010,07_2016,WY,H_RECMND,4,29,67
1011,07_2017,AK,H_CLEAN_HSP,8,20,72
1012,07_2017,AK,H_COMP_1,3,21,76
1013,07_2017,AK,H_COMP_2,4,16,80
1014,07_2017,AK,H_COMP_3,7,23,70
1015,07_2017,AK,H_COMP_5,15,20,65
1016,07_2017,AK,H_COMP_6,14,0,86
1017,07_2017,AK,H_COMP_7,5,46,49
1018,07_2017,AK,H_HSP_RATING,6,27,67
1019,07_2017,AK,H_QUIET_HSP,10,32,58
1020,07_2017,AK,H_RECMND,4,27,69
1021,07_2017,AL,H_CLEAN_HSP,10,17,73
1022,07_2017,AL,H_COMP_1,5,13,82
1023,07_2017,AL,H_COMP_2,3,11,86
1024,07_2017,AL,H_COMP_3,9,21,70
1025,07_2017,AL,H_COMP_5,17,16,67
1026,07_2017,AL,H_COMP_6,14,0,86
1027,07_2017,AL,H_COMP_7,6,44,50
1028,07_2017,AL,H_HSP_RATING,7,21,72
1029,07_2017,AL,H_QUIET_HSP,6,22,72
1030,07_2017,AL,H_RECMND,5,24,71
1031,07_2017,AR,H_CLEAN_HSP,8,17,75
1032,07_2017,AR,H_COMP_1,4,15,81
1033,07_2017,AR,H_COMP_2,4,12,84
1034,07_2017,AR,H_COMP_3,8,22,70
1035,07_2017,AR,H_COMP_5,17,16,67
1036,07_2017,AR,H_COMP_6,15,0,85
1037,07_2017,AR,H_COMP_7,5,43,52
1038,07_2017,AR,H_HSP_RATING,7,20,73
1039,07_2017,AR,H_QUIET_HSP,7,24,69
1040,07_2017,AR,H_RECMND,5,25,70
1041,07_2017,AZ,H_CLEAN_HSP,11,20,69
1042,07_2017,AZ,H_COMP_1,5,18,77
1043,07_2017,AZ,H_COMP_2,5,18,77
1044,07_2017,AZ,H_COMP_3,9,27,64
1045,07_2017,AZ,H_COMP_5,19,18,63
1046,07_2017,AZ,H_COMP_6,13,0,87
1047,07_2017,AZ,H_COMP_7,7,44,49
1048,07_2017,AZ,H_HSP_RATING,9,21,70
1049,07_2017,AZ,H_QUIET_HSP,11,31,58
1050,07_2017,AZ,H_RECMND,6,25,69
1051,07_2017,CA,H_CLEAN_HSP,10,19,71
1052,07_2017,CA,H_COMP_1,6,19,75
1053,07_2017,CA,H_COMP_2,6,16,78
1054,07_2017,CA,H_COMP_3,12,27,61
1055,07_2017,CA,H_COMP_5,20,18,62
1056,07_2017,CA,H_COMP_6,15,0,85
1057,07_2017,CA,H_COMP_7,7,44,49
1058,07_2017,CA,H_HSP_RATING,9,22,69
1059,07_2017,CA,H_QUIET_HSP,16,32,52
